iter	Passed	Remaining
953	2866	138
954	2869	135
955	2872	132
956	2875	129
957	2877	126
958	2880	123
959	2883	120
960	2886	117
961	2888	114
962	2899	111
963	2902	108
964	2905	105
965	2909	102
966	2912	99
967	2915	96
968	2918	93
969	2920	90
970	2923	87
971	2926	84
972	2929	81
973	2932	78
974	2935	75
975	2938	72
976	2941	69
977	2944	66
978	2947	63
979	2949	60
980	2952	57
981	2955	54
982	2958	51
983	2960	48
984	2965	45
985	2967	42
986	2970	39
987	2973	36
988	2977	33
989	2981	30
990	2984	27
991	2987	24
992	2990	21
993	2993	18
994	2996	15
995	2999	12
996	3001	9
997	3014	6
998	3017	3
999	3021	0
